Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number,Author
1,,,551821.843,6824347.188,249.690,,9.97504462,61.54917528,249.690,Global,"11,8",0.020,0.020,0.025,0.029,1.895,m,FIX,RTK,2026-07-04 15:57:12.6 UTC+02:00,2026-07-04 15:57:12.6 UTC+02:00,1,1.5,1.7,551823.716,6824349.638,252.937,9.97508054,61.54919701,252.937,3.367,CPOSRTCM32,ETRS89 / UTM zone 32N,4,6,7,0,0,Reach RS4,824337343DD29B56,Edward Forbes e.r.forbes@icloud.com
2,,,551821.804,6824346.862,249.668,,9.97504378,61.54917235,249.668,Global,"20,1",0.017,0.017,0.022,0.023,1.895,m,FIX,RTK,2026-07-04 15:57:15.2 UTC+02:00,2026-07-04 15:57:15.2 UTC+02:00,1,1.5,1.7,551823.716,6824349.638,252.937,9.97508054,61.54919701,252.937,3.237,CPOSRTCM32,ETRS89 / UTM zone 32N,4,6,7,0,0,Reach RS4,824337343DD29B56,Edward Forbes e.r.forbes@icloud.com
3,,,551821.921,6824347.772,249.775,,9.97504623,61.54918051,249.775,Global,"21,3",0.015,0.015,0.022,0.021,1.895,m,FIX,RTK,2026-07-04 15:57:24.6 UTC+02:00,2026-07-04 15:57:24.6 UTC+02:00,1,1.5,1.8,551823.716,6824349.638,252.937,9.97508054,61.54919701,252.937,3.306,CPOSRTCM32,ETRS89 / UTM zone 32N,5,6,7,0,0,Reach RS4,824337343DD29B56,Edward Forbes e.r.forbes@icloud.com
4,,,551821.990,6824347.972,249.830,,9.97504760,61.54918229,249.830,Global,"25,7",0.015,0.015,0.023,0.021,1.895,m,FIX,RTK,2026-07-04 15:57:28.4 UTC+02:00,2026-07-04 15:57:28.4 UTC+02:00,1,1.5,1.8,551823.716,6824349.638,252.937,9.97508054,61.54919701,252.937,3.306,CPOSRTCM32,ETRS89 / UTM zone 32N,5,6,7,0,0,Reach RS4,824337343DD29B56,Edward Forbes e.r.forbes@icloud.com
5,,,551822.113,6824348.000,249.826,,9.97504992,61.54918252,249.826,Global,"29,5",0.017,0.017,0.026,0.024,1.895,m,FIX,RTK,2026-07-04 15:57:30.8 UTC+02:00,2026-07-04 15:57:30.8 UTC+02:00,1,1.5,1.8,551823.716,6824349.638,252.937,9.97508054,61.54919701,252.937,3.287,CPOSRTCM32,ETRS89 / UTM zone 32N,5,6,7,0,0,Reach RS4,824337343DD29B56,Edward Forbes e.r.forbes@icloud.com
6,,,551822.370,6824348.167,249.861,,9.97505479,61.54918400,249.861,Global,"32,4",0.016,0.016,0.027,0.023,1.895,m,FIX,RTK,2026-07-04 15:57:35.2 UTC+02:00,2026-07-04 15:57:35.2 UTC+02:00,1,1.5,1.8,551823.716,6824349.638,252.937,9.97508054,61.54919701,252.937,3.182,CPOSRTCM32,ETRS89 / UTM zone 32N,5,6,7,0,0,Reach RS4,824337343DD29B56,Edward Forbes e.r.forbes@icloud.com
7,,,551822.439,6824348.106,249.866,,9.97505607,61.54918344,249.866,Global,"32,0",0.015,0.015,0.026,0.022,1.895,m,FIX,RTK,2026-07-04 15:57:37.4 UTC+02:00,2026-07-04 15:57:37.4 UTC+02:00,1,1.5,1.8,551823.716,6824349.638,252.937,9.97508054,61.54919701,252.937,3.237,CPOSRTCM32,ETRS89 / UTM zone 32N,5,6,7,0,0,Reach RS4,824337343DD29B56,Edward Forbes e.r.forbes@icloud.com
8,,,551822.629,6824348.375,249.897,,9.97505973,61.54918582,249.897,Global,"29,7",0.022,0.022,0.030,0.030,1.895,m,FIX,RTK,2026-07-04 15:57:40.8 UTC+02:00,2026-07-04 15:57:40.8 UTC+02:00,1,1.5,1.8,551823.716,6824349.638,252.937,9.97508054,61.54919701,252.937,2.921,CPOSRTCM32,ETRS89 / UTM zone 32N,5,6,7,0,0,Reach RS4,824337343DD29B56,Edward Forbes e.r.forbes@icloud.com
9,,,551822.177,6824348.469,249.908,,9.97505125,61.54918673,249.908,Global,"23,3",0.015,0.015,0.020,0.022,1.895,m,FIX,RTK,2026-07-04 15:57:43.8 UTC+02:00,2026-07-04 15:57:43.8 UTC+02:00,1,1.5,1.8,551823.716,6824349.638,252.937,9.97508054,61.54919701,252.937,2.536,CPOSRTCM32,ETRS89 / UTM zone 32N,5,6,7,0,0,Reach RS4,824337343DD29B56,Edward Forbes e.r.forbes@icloud.com
10,,,551821.988,6824348.378,249.886,,9.97504766,61.54918594,249.886,Global,"27,1",0.015,0.015,0.023,0.021,1.895,m,FIX,RTK,2026-07-04 15:57:48.4 UTC+02:00,2026-07-04 15:57:48.4 UTC+02:00,1,1.5,1.8,551823.716,6824349.638,252.937,9.97508054,61.54919701,252.937,2.638,CPOSRTCM32,ETRS89 / UTM zone 32N,4,6,7,0,0,Reach RS4,824337343DD29B56,Edward Forbes e.r.forbes@icloud.com
